GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
uncommons-dbutils,com.moandjiezana.uncommons.dbutils,RowProcessor,0,17,0,0,0,3,0,4,0,4
uncommons-dbutils,com.moandjiezana.uncommons.dbutils,MapRowProcessor,0,56,0,4,0,12,0,8,0,6
uncommons-dbutils,com.moandjiezana.uncommons.dbutils,ObjectRowProcessor,7,160,1,13,1,35,3,14,2,8
uncommons-dbutils,com.moandjiezana.uncommons.dbutils,ColumnRowProcessor,16,42,1,3,4,13,3,5,2,4
uncommons-dbutils,com.moandjiezana.uncommons.dbutils,CaseInsensitiveMap,53,31,0,0,10,6,9,5,9,5
uncommons-dbutils,com.moandjiezana.uncommons.dbutils,ResultSetHandler,0,52,0,4,0,13,0,11,0,9
uncommons-dbutils,com.moandjiezana.uncommons.dbutils,MapResultSetHandler,0,41,0,2,0,9,0,5,0,4
uncommons-dbutils,com.moandjiezana.uncommons.dbutils,Converters.new Converters() {...},7,117,2,10,2,21,2,11,0,7
uncommons-dbutils,com.moandjiezana.uncommons.dbutils,QueryRunner.Transaction,0,14,0,0,0,7,0,3,0,3
uncommons-dbutils,com.moandjiezana.uncommons.dbutils,QueryRunner,227,340,42,22,0,62,28,24,0,20
uncommons-dbutils,com.moandjiezana.uncommons.dbutils,Converters,0,5,0,0,0,1,0,1,0,1
uncommons-dbutils,com.moandjiezana.uncommons.dbutils.functions,SupplierWithException,0,15,0,0,0,5,0,2,0,2
